set|date|setID
Series 1 Starter Set|2000-02-01|687
Street Starter Set 1|2001-01-02|694
Street Starter Set 2|2001-01-02|1845
Street Starter Set 3|2001-03-01|1846
Street Starter Set 4|2001-08-01|1847
Series 1 Booster|1999-06-01|688
Series 2 Booster||689
Series 3 Booster||690
Series 4 Booster||691
Series 5 Booster||692
Series 6 Booster||693
Digimon Holofoil Promos||2674
Digi-Battle CCG: Street Battle||4700
Digi-Battle CCG: Action Figure Promos||2676
Digi-Battle CCG: Bandai Asia D-Power Promos||2684
Digi-Battle CCG: Bandai Asia D-Power V2 Promos||2685
Digi-Battle CCG: Bandai Asia D-Power V3 Promos||2686
Digi-Battle CCG: Bandai Europe D-Power Promos||2682
Digi-Battle CCG: Fox Kids Promos||2681
Digi-Battle CCG: Movie Promos||695
Digi-Battle CCG: Shreddies Promos||2687
Digi-Battle CCG: Swedish Promos||2688
Digi-Battle CCG: Taco Bell Promos||2683
Digi-Battle CCG: Toy Promos||2679
Digi-Battle CCG: Universal Studios Promos||2680
Digi-Battle CCG: World Promos||2678
